epoch,lr-Adam,step,test_loss,test_mae,test_r2,test_rmse,train_loss,train_mae,train_r2,train_rmse,val_loss,val_mae,val_r2,val_rmse
29,,2309,,,,,2119703168.0,34531.93359375,0.9110898971557617,46040.234375,,,,
,0.001,2310,,,,,,,,,,,,
30,,2386,,,,,,,,,1681674880.0,29835.791015625,0.9276927709579468,41008.23046875
30,,2386,,,,,2077852160.0,34260.390625,0.9128459095954895,45583.46484375,,,,
,0.001,2387,,,,,,,,,,,,
31,,2463,,,,,,,,,1659871360.0,29672.052734375,0.9286302924156189,40741.51953125
31,,2463,,,,,2040244992.0,33887.171875,0.9144227504730225,45169.0703125,,,,
,0.001,2464,,,,,,,,,,,,
32,,2540,,,,,,,,,1658489984.0,29495.140625,0.92868971824646,40724.5625
32,,2540,,,,,2008514176.0,33529.94921875,0.9157535433769226,44816.44921875,,,,
,0.001,2541,,,,,,,,,,,,
33,,2617,,,,,,,,,1640620160.0,29368.4296875,0.9294580221176147,40504.5703125
33,,2617,,,,,1992666368.0,33319.9921875,0.9164184331893921,44639.29296875,,,,
,0.001,2618,,,,,,,,,,,,
34,,2694,,,,,,,,,1632114688.0,29271.353515625,0.9298237562179565,40399.4375
34,,2694,,,,,1964364800.0,33117.66015625,0.9176056385040283,44321.15625,,,,
,0.001,2695,,,,,,,,,,,,
35,,2771,,,,,,,,,1616881408.0,29257.91796875,0.9304787516593933,40210.46484375
35,,2771,,,,,1935279872.0,32774.7734375,0.9188255667686462,43991.81640625,,,,
,0.001,2772,,,,,,,,,,,,
36,,2848,,,,,,,,,1607011584.0,29020.54296875,0.9309031367301941,40087.55078125
36,,2848,,,,,1910455296.0,32495.83203125,0.9198668003082275,43708.75390625,,,,
,0.001,2849,,,,,,,,,,,,
37,,2925,,,,,,,,,1600505600.0,28913.25,0.931182861328125,40006.3203125
37,,2925,,,,,1889102592.0,32335.62890625,0.9207625389099121,43463.80859375,,,,
,0.001,2926,,,,,,,,,,,,
38,,3002,,,,,,,,,1588589696.0,28904.11328125,0.9316952228546143,39857.1171875
38,,3002,,,,,1869442688.0,32082.966796875,0.9215869307518005,43237.05078125,,,,
,0.001,3003,,,,,,,,,,,,
39,,3079,,,,,,,,,1582829568.0,28776.28125,0.931942880153656,39784.7890625
39,,3079,,,,,1842079616.0,31846.376953125,0.9227349162101746,42919.453125,,,,
,0.001,3080,,,,,,,,,,,,
40,,3156,,,,,,,,,1571552896.0,28627.888671875,0.9324277639389038,39642.81640625
40,,3156,,,,,1827906048.0,31732.23828125,0.92332923412323,42754.01953125,,,,
,0.001,3157,,,,,,,,,,,,
41,,3233,,,,,,,,,1571105152.0,28714.2265625,0.9324469566345215,39637.16796875
41,,3233,,,,,1803257728.0,31425.03515625,0.9243632555007935,42464.78125,,,,
,0.001,3234,,,,,,,,,,,,
42,,3310,,,,,,,,,1564007040.0,28481.392578125,0.9327521920204163,39547.52734375
42,,3310,,,,,1776906752.0,31224.41015625,0.9254684448242188,42153.37109375,,,,
,0.001,3311,,,,,,,,,,,,
43,,3387,,,,,,,,,1549434752.0,28359.943359375,0.9333787560462952,39362.859375
43,,3387,,,,,1768711424.0,30957.84375,0.9258121848106384,42056.05078125,,,,
,0.001,3388,,,,,,,,,,,,
44,,3464,,,,,,,,,1560831488.0,28309.72265625,0.9328887462615967,39507.359375
44,,3464,,,,,1754436608.0,30889.865234375,0.9264111518859863,41885.99609375,,,,
,0.001,3465,,,,,,,,,,,,
45,,3541,,,,,,,,,1538240768.0,28197.32421875,0.9338600635528564,39220.4140625
45,,3541,,,,,1727276672.0,30684.890625,0.9275500774383545,41560.51953125,,,,
,0.001,3542,,,,,,,,,,,,
46,,3618,,,,,,,,,1534267648.0,28130.373046875,0.9340308904647827,39169.73046875
46,,3618,,,,,1710998784.0,30516.81640625,0.928232729434967,41364.22265625,,,,
,0.001,3619,,,,,,,,,,,,
47,,3695,,,,,,,,,1522717056.0,28085.642578125,0.9345275163650513,39022.0078125
47,,3695,,,,,1698206976.0,30395.1328125,0.9287694692611694,41209.30859375,,,,
,0.001,3696,,,,,,,,,,,,
48,,3772,,,,,,,,,1523519616.0,27994.755859375,0.9344930052757263,39032.2890625
48,,3772,,,,,1686969856.0,30221.43359375,0.9292410612106323,41072.73828125,,,,
,0.001,3773,,,,,,,,,,,,
49,,3849,,,,,,,,,1503059840.0,27993.837890625,0.9353727102279663,38769.31640625
49,,3849,,,,,1664641792.0,29979.626953125,0.9301774501800537,40800.0234375,,,,
50,,3850,5216788992.0,60466.34375,0.8027827739715576,72227.34375,,,,,,,,
